Date,Price,Open,High,Low,Vol.,Change %,T+,range,TR
2019-05-18 00:00:00,7262.6,"7,359.90",7458.5,7189.4,865.53K,-1.32,False,269.10000000000036,269.10000000000036
2019-05-19 00:00:00,8157.2,"7,261.90",8253.4,7252.3,1.08M,12.32,True,1001.0999999999995,1001.0999999999995
2019-05-20 00:00:00,7965.3,"8,156.40",8156.4,7604.0,958.81K,-2.35,False,552.3999999999996,553.1999999999998
2019-05-21 00:00:00,7930.3,"7,965.00",8056.8,7813.2,804.88K,-0.44,False,243.60000000000036,243.60000000000036
2019-05-22 00:00:00,7635.7,"7,928.70",7999.0,7545.9,821.40K,-3.72,False,453.10000000000036,453.10000000000036
2019-05-23 00:00:00,7852.1,"7,637.20",7939.1,7486.8,815.14K,2.83,True,452.3000000000002,452.3000000000002
2019-05-24 00:00:00,7970.1,"7,852.80",8124.1,7775.4,868.47K,1.5,True,348.7000000000007,348.7000000000007
2019-05-25 00:00:00,8027.4,"7,971.40",8090.1,7919.1,691.27K,0.72,True,171.0,171.0
2019-05-26 00:00:00,8630.2,"8,029.60",8718.6,7866.5,872.12K,7.51,True,852.1000000000004,852.1000000000004
2019-05-27 00:00:00,8760.1,"8,628.90",8902.8,8607.3,907.96K,1.51,True,295.5,295.5
2019-05-28 00:00:00,8716.3,"8,759.40",8794.1,8568.8,763.20K,-0.5,False,225.3000000000011,225.3000000000011
2019-05-29 00:00:00,8647.8,"8,715.60",8747.2,8435.3,15.43M,-0.79,False,311.90000000000146,311.90000000000146
2019-05-30 00:00:00,8271.9,"8,647.80",9045.9,8054.7,1.04M,-4.35,False,991.1999999999998,991.1999999999998
2019-05-31 00:00:00,8558.3,"8,271.40",8578.8,8135.0,858.41K,3.46,True,443.7999999999993,443.7999999999993
2019-06-01 00:00:00,8545.7,"8,556.90",8615.8,8454.0,686.75K,-0.15,False,161.79999999999927,161.79999999999927
2019-06-02 00:00:00,8728.6,"8,545.80",8807.7,8534.8,614.54K,2.14,True,272.90000000000146,272.90000000000146
2019-06-03 00:00:00,8124.8,"8,728.60",8734.9,8102.7,739.45K,-6.92,False,632.1999999999998,632.1999999999998
2019-06-04 00:00:00,7685.5,"8,118.10",8118.1,7494.0,966.95K,-5.41,False,624.1000000000004,630.8000000000002
2019-06-05 00:00:00,7779.1,"7,685.60",7885.0,7590.4,762.94K,1.22,True,294.60000000000036,294.60000000000036
2019-06-06 00:00:00,7784.9,"7,779.60",7861.4,7480.4,651.82K,0.08,True,381.0,381.0
2019-06-07 00:00:00,7985.2,"7,785.80",8099.4,7749.4,588.87K,2.57,True,350.0,350.0
2019-06-08 00:00:00,7901.4,"7,985.30",8044.4,7770.5,485.81K,-1.05,False,273.89999999999964,273.89999999999964
2019-06-09 00:00:00,7635.0,"7,901.60",7937.5,7516.9,554.48K,-3.37,False,420.60000000000036,420.60000000000036
2019-06-10 00:00:00,7987.8,"7,635.00",8012.8,7523.6,641.38K,4.62,True,489.1999999999998,489.1999999999998
2019-06-11 00:00:00,7888.0,"7,987.80",8010.4,7714.5,579.00K,-1.25,False,295.89999999999964,295.89999999999964
2019-06-12 00:00:00,8133.1,"7,888.00",8198.1,7805.8,607.89K,3.11,True,392.3000000000002,392.3000000000002
2019-06-13 00:00:00,8219.0,"8,132.40",8306.1,8028.6,574.21K,1.06,True,277.5,277.5
2019-06-14 00:00:00,8656.1,"8,218.60",8685.3,8153.2,643.17K,5.32,True,532.0999999999995,532.0999999999995
2019-06-15 00:00:00,8812.5,"8,655.80",8856.7,8582.3,608.69K,1.81,True,274.40000000000146,274.40000000000146
2019-06-16 00:00:00,8962.5,"8,812.20",9332.0,8771.1,849.77K,1.7,True,560.8999999999996,560.8999999999996
2019-06-17 00:00:00,9318.8,"8,961.00",9438.1,8959.8,738.80K,3.98,True,478.3000000000011,478.3000000000011
2019-06-18 00:00:00,9080.6,"9,318.90",9336.1,8962.7,723.17K,-2.56,False,373.39999999999964,373.39999999999964
